,Abs. Location,Category,Color,Entry-Level,Identifier,Image Number,Other,Referring Expression,Rel. Location,Rel. Object,Size,Testset,prev_file,same,file,region,ref_a1,ref_a2,ref_a3,ref_h_a2,ref_h_a3,ref_h_nouns,ref_gentype
1122,,sky,,sky,537fc315d31907d16d001838,40490_2.jpg,,The sky,,,,B,40480_3.jpg,False,40490,2,top left,sky clouds top left,sky clouds big cloud top left,cloud or sky clouds top left,cloud or sky clouds big cloud top left,cloud:sky,a1
1125,,horse,,horse,53838893ffd52689140003af,40523_2.jpg,,horse,,,,B,40490_2.jpg,False,40523,2,in front,chair guy in front,guy in front chair on left,screen or horse guy in front,screen or horse in front chair on left,screen:horse,a1
1128,,floor-carpet,,floor,537fc3c2d31907d16d001907,40557_1.jpg,,floor,,,,B,40523_2.jpg,False,40557,1,bottom left,ground bottom left corner,ground in front bottom left corner,floor or shadow bottom left corner,floor or shadow in front bottom left corner,floor:shadow,a1
1131,left,bird,,ostrich,537fb7a3d31907d16d000aee,40648_5.jpg,,left ostrich,,,,B,40557_1.jpg,False,40648,5,on left,palm tree on left,palm tree on left in middle,beach or fountain tree on left,beach or fountain tree on left in middle,beach:fountain,a1
1134,bottom,rock,,rock,537fb33cd31907d16d0005e9,40684_1.jpg,,bottom left rock,,,,B,40648_5.jpg,False,40684,1,very bottom,ground very bottom left,ground very bottom rocks on left,pic or ice very bottom left,pic or ice very bottom rocks on left,pic:ice,a1
1137,,cloth,,pants,537fb277d31907d16d000529,4263_7.jpg,,pants of first man on right,prep_on_right,man,,B,40684_1.jpg,False,4263,7,in middle,guy in front middle,black shirt guy in front middle,pants or kid in front middle,black pants or kid guy in front middle,pants:kid,a2
1140,right,plant,,tree,537fc4e2d31907d16d001a65,4272_1.jpg,,tree right,,,,B,4263_7.jpg,False,4272,1,bottom right,tree on right side,tall building on bottom right side,flowers or bushes on right side,tall flowers or bushes on bottom right side,flowers:bushes,a2
1143,,window,,window,537fe23dd31907d16d0028c9,4275_4.jpg,,window in fornt,prep_in,fornt,,B,4272_1.jpg,False,4275,4,bottom right,window on bottom right,wood floor window on bottom right,window or table on bottom right,window or table floor window on bottom right,window:table,a1
1146,,door,,doorway,5383a1fc793954ad2d000400,4277_7.jpg,,big center doorway,,,big,B,4275_4.jpg,False,4277,7,in middle,people in front middle,people in white wall on left,bldg or house in front middle,bldg or house in white wall on left,bldg:house,a1
1149,,ocean,,front,537fbbf1d31907d16d00100f,4446_5.jpg,,front of water,,,,B,4277_7.jpg,False,4446,5,bottom left,water bottom left corner,water on ground bottom left corner,sea or water bottom left corner,sea or water on ground bottom left corner,sea:water,a1
1152,,man,,man,537fdcf8d31907d16d002550,4449_3.jpg,,man,,,,B,4446_5.jpg,False,4449,3,on left,man in orange shirt,man in blue shirt on left,sweater or chick in orange shirt,sweater or chick in blue shirt on left,sweater:chick,a1
1155,,ship,,Boat,5383898cffd52689140004c9,4510_7.jpg,,Boat,,,,B,4449_3.jpg,False,4510,7,in middle,boat thing in middle,man in white thing on left,boat or flag thing in middle,boat or flag in white thing on left,boat:flag,a1
1158,middle,seal,,seal,537fb0f3d31907d16d0003bf,4561_3.jpg,,seal in the center laying dead,,,,B,4510_7.jpg,False,4561,3,in middle,man in middle left,man in middle rock on left,seal or dog in middle left,seal or dog in middle rock on left,seal:dog,a1
1161,,glacier,,ice,537fda22d31907d16d0023e3,4610_3.jpg,,ice,,,,B,4561_3.jpg,False,4610,3,top left,water on left corner,dark green trees on left corner,ice or pic on left corner,dark green ice or pic on left corner,ice:pic,a2
1164,,public-sign,yellow,sign,537fd77cd31907d16d0022b4,4718_13.jpg,,yellow sign towards the back of the green and white bus,prep_towards_back,bus,,B,4610_3.jpg,False,4718,13,on left,light post on left,tall building in background on left,pillar or doorway post on left,tall pillar or doorway in background on left,pillar:doorway,a2
1167,,ancent-building,,building,537fb9d9d31907d16d000d6a,4746_4.jpg,,building,,,,B,4718_13.jpg,False,4746,4,bottom right,building on right corner,big building windows on right corner,bldg or windows on right corner,big bldg or windows windows on right corner,bldg:windows,a2
1170,,column,,group,5383895cffd526891400048f,4861_11.jpg,,group of sticks directly in center of picture over the middle hammock,,,,B,4746_4.jpg,False,4861,11,in middle,bike guy in middle,guy in middle tree on right,curtain or bike guy in middle,curtain or bike in middle tree on right,curtain:bike,a2
1173,middle,wall,white,wall,53839bb7793954ad2d0002e7,4899_19.jpg,,white wall middle,,,,B,4861_11.jpg,False,4899,19,on right,sign post on right,man in yellow building on right,stand or van post on right,stand or van in yellow building on right,stand:van,a2
1176,front,llama,,animal,537fc406d31907d16d001958,4951_1.jpg,,the front animal on the left,,,,B,4899_19.jpg,False,4951,1,on left,sidewalk on left side,white area on far left side,animal or animals on left side,white animal or animals on far left side,animal:animals,a1
1179,rightmost,grass,,side,537fbc3fd31907d16d001073,4952_6.jpg,,rightmost side of the hill,,,,B,4951_1.jpg,False,4952,6,top right,tree on far right,palm tree on far right side,mountain or hill on far right,mountain or hill tree on far right side,mountain:hill,a1
1182,,sky-blue,,sky,537fb3bdd31907d16d000679,4988_6.jpg,,sky,,,,B,4952_6.jpg,False,4988,6,top left,sky top left corner,sky top anywhere on left corner,birds or screen top left corner,birds or screen top anywhere on left corner,birds:screen,a1
1185,right,palm,,tree,53839ce1793954ad2d00032b,5013_11.jpg,,tree just right of fountain,,,,B,4988_6.jpg,False,5013,11,top right,palm tree on right,small palm tree trunk on right,palm or can tree on right,small palm or can tree trunk on right,palm:can,a0
1188,,mountain,,mountain,537fb36ad31907d16d000623,5059_3.jpg,,mountains middle,,,,B,5013_11.jpg,False,5059,3,top left,mountain in background mountains,mountain in background mountains on left,mountains or mountain in background mountains,mountains or mountain in background mountains on left,mountains:mountain,a2
1191,,woman,,lady,538388c4ffd52689140003e1,5105_1.jpg,,the lady,,,,B,5059_3.jpg,False,5105,1,in front,man in front guy,man in front guy on left,dude or chick in front guy,dude or chick in front guy on left,dude:chick,a2
1194,left,sidewalk,,side,53838999ffd52689140004d8,5107_8.jpg,,left side of pic sidewalk,,,,B,5105_1.jpg,False,5107,8,bottom left,guy on left corner,grass on left guy in front,head or table on left corner,head or table on left guy in front,head:table,a2
1197,top,tree,,right,53838929ffd5268914000455,6306_7.jpg,,top right trees,,,,B,5107_8.jpg,False,6306,7,top right,tree on top right,green tree on top right corner,light or leaves on top right,green light or leaves on top right corner,light:leaves,a1
1200,,vegetation,,mountain,537fb3dad31907d16d000696,6327_7.jpg,,mountains above far left head,prep_above,head,,B,6306_7.jpg,False,6327,7,top left,sand on far left,green hill on far left side,hills or ice on far left,green hills or ice on far left side,hills:ice,a2
1203,,sky,,sky,53839f2c793954ad2d0003a9,64_5.jpg,,sky,,,,B,6327_7.jpg,False,64,5,top left,sky top left corner,sky clouds very top left corner,sky or way top left corner,sky or way clouds very top left corner,sky:way,a1
1206,,bush,,corner,537fbc81d31907d16d0010c7,6639_2.jpg,,top left corner,,,,B,64_5.jpg,False,6639,2,top left,grass on left corner,grass on top left corner area,square or plants on left corner,square or plants on top left corner area,square:plants,a1
1209,,group-of-persons,,santa,537fd739d31907d16d00228d,672_1.jpg,,santa,,,,B,6639_2.jpg,False,672,1,in front,people in orange shirt,people in pink shirt tan pants,women or chick in orange shirt,women or chick in pink shirt tan pants,women:chick,a2
1212,,floor,,road,5383a123793954ad2d0003e2,6901_1.jpg,,road,,,,B,672_1.jpg,False,6901,1,bottom left,ground bottom left bed,ground in red jacket on left,bed or street bottom left bed,bed or street in red jacket on left,bed:street,a1
1215,,group-of-persons,,group,537fd739d31907d16d00228e,6933_3.jpg,,group of people,,,,B,6901_1.jpg,False,6933,3,on right,group people on right,people in middle area on right,group or people people on right,group or people in middle area on right,group:people,a1
1218,bottom,man,,man,537fd776d31907d16d0022b0,7005_4.jpg,,bottom left man,,,,B,6933_3.jpg,False,7005,4,on left,guy on far left,guy in blue shirt on left,lady or guys on far left,lady or guys in blue shirt on left,lady:guys,a2
1221,,mountain,,hill,53839b10793954ad2d0002c2,7022_2.jpg,,hill not ppl,,,,B,7005_4.jpg,False,7022,2,bottom left,grass area on left,green grass area on left corner,rocks or screen area on left,green rocks or screen area on left corner,rocks:screen,a1
1224,,ground,orange,ground,537fbaa0d31907d16d000e69,7031_6.jpg,,ground below and left and orange,,,,B,7022_2.jpg,False,7031,6,bottom left,very bottom left corner,grass on left corner very bottom,very bottom left corner,floor or sidewalk on left corner very bottom,floor:sidewalk,a2
1227,,bird,,bird,538388ebffd5268914000409,7037_2.jpg,,bird in front of people,prep_in_front,people,,B,7031_6.jpg,False,7037,2,in front,guy in front left,guy in front bottom left corner,bird or birds in front left,bird or birds in front bottom left corner,bird:birds,a1
1230,,man,,man,537fb23bd31907d16d0004f8,7047_1.jpg,,man on right edge,prep_on,edge,,B,7037_2.jpg,False,7047,1,far right,guy on far right,blue shirt guy on far right,shirt or hat on far right,blue shirt or hat guy on far right,shirt:hat,a1
1233,,ground,,,537fb120d31907d16d0003e7,7065_3.jpg,,left of the kid's face on the ground,prep_on,ground,,B,7047_1.jpg,False,7065,3,top left,water on left side,water on top left side sand,sand or boy on left side,sand or boy on top left side sand,sand:boy,a2
1236,,cabin,,structure,53839c85793954ad2d00030d,7089_2.jpg,,bamboo structure,,,,B,7065_3.jpg,False,7089,2,top left,anywhere on left corner,black jacket screen anywhere on left,anywhere on left corner,black screen or light screen anywhere on left,screen:light,a2
1239,left,ocean,,water,53838830ffd5268914000345,7234_9.jpg,,water under the rail on the left,prep_under,rail,,B,7089_2.jpg,False,7234,9,bottom left,palm tree on left,palm tree trunk on far left,frame or trunk tree on left,frame or trunk tree trunk on far left,frame:trunk,a2
1242,,ocean,,water,537fdc5ad31907d16d0024e1,7317_5.jpg,,water,,,,B,7234_9.jpg,False,7317,5,upper right,water in background mountains,water in background mountains on right,sand or stairs in background mountains,sand or stairs in background mountains on right,sand:stairs,a1
1245,,sky-light,,sky,53838a0effd5268914000572,7328_2.jpg,,sky,,,,B,7317_5.jpg,False,7328,2,very top,sky top left corner,blue sky very top left corner,row or head top left corner,blue row or head very top left corner,row:head,a1
1248,front,floor,,ground,537fdc96d31907d16d00250a,7420_3.jpg,,ground in between the legs of the two men in front,,,,B,7328_2.jpg,False,7420,3,very bottom,ground very bottom right,ground in very bottom right corner,boat or way very bottom right,boat or way in very bottom right corner,boat:way,a1
1251,,couple-of-persons,,people,537fbbfad31907d16d001017,7425_1.jpg,,people,,,,B,7420_3.jpg,False,7425,1,in front,guy in orange shirt,gray shirt guy in red pants,camera or dude in orange shirt,gray camera or dude guy in red pants,camera:dude,a1
1254,,couple-of-persons,,woman,537fb1cad31907d16d00048c,7468_1.jpg,,woman or boy,,,,B,7425_1.jpg,False,7468,1,in front,man in front person,people on left person in front,people or men in front person,people or men on left person in front,people:men,a1
1257,,baby,,boy,537fc58cd31907d16d001b3b,7491_2.jpg,,boy in jeans and yellow shirt with red sleeves,prep_with,sleeve,,B,7468_1.jpg,False,7491,2,in front,man in orange shirt,blue shirt guy in red jacket,boy or pants in orange shirt,blue boy or pants guy in red jacket,boy:pants,a2
1260,,hill,dark,hill,537fb9efd31907d16d000d82,7541_3.jpg,,dark hills,,,,B,7491_2.jpg,False,7541,3,in background,mountains in background hills,mountains in background hills on right,hill or island in background hills,hill or island in background hills on right,hill:island,a1
1263,,steam,,cloud,537fd9e2d31907d16d0023ce,7545_4.jpg,,clouds,,,,B,7541_3.jpg,False,7545,4,bottom left,sky clouds on left,large cloud in blue sky clouds,cloud or clouds clouds on left,large cloud or clouds in blue sky clouds,cloud:clouds,a1
1266,,group-of-persons,,people,537fc4ecd31907d16d001a72,7570_1.jpg,,people,,,,B,7545_4.jpg,False,7570,1,in middle,guy in middle person,guy in middle person on right,roof or statue in middle person,roof or statue in middle person on right,roof:statue,a1
1269,,group-of-persons,,people,537fbc2fd31907d16d00105f,7593_3.jpg,,people,,,,B,7570_1.jpg,False,7593,3,top left,girl in background people,girl in background people on left,railing or pic in background people,railing or pic in background people on left,railing:pic,a2
1272,front,plant,,flower,537fb362d31907d16d000618,7606_8.jpg,,flowers in front,,,,B,7593_3.jpg,False,7606,8,in middle,people on left side,people on left side in middle,fountain or clock on left side,fountain or clock on left side in middle,fountain:clock,a2
1275,,car,,Truck,537fd840d31907d16d002315,7693_3.jpg,,Truck Far right under carport,,,,B,7606_8.jpg,False,7693,3,top right,wall on far right,yellow wall on far right side,car or stand on far right,yellow car or stand on far right side,car:stand,a2
1278,,woman,,lady,537fdc67d31907d16d0024e9,7708_4.jpg,,the lady,,,,B,7693_3.jpg,False,7708,4,in middle,man in middle person,white shirt guy in middle person,chick or women in middle person,white chick or women guy in middle person,chick:women,a1
1281,,rock,,part,53838853ffd526891400036c,7721_5.jpg,,any part of rock animal laying on,,,,B,7708_4.jpg,False,7721,5,bottom left,rock wall on left,rock wall on bottom left corner,rock or mountains wall on left,rock or mountains wall on bottom left corner,rock:mountains,a1
1284,,rock,,stone,537fb15dd31907d16d00041b,7744_5.jpg,,Small stone jutting up from the ground to the right of the woman,,,small,B,7721_5.jpg,False,7744,5,on right,tree on right side,green thing on far right side,plant or light on right side,green thing on far right plant or light,plant:light,a1
1287,,generic-objects,black,stuff,537fc543d31907d16d001ade,7802_4.jpg,,black stuff,,,,B,7744_5.jpg,False,7802,4,bottom left,building on left corner,short building on bottom left corner,wood or sign on left corner,short wood or sign on bottom left corner,wood:sign,a2
1290,front,grass,,plant,53838b07ffd52689140006d0,7805_3.jpg,,plants in front,,,,B,7802_4.jpg,False,7805,3,bottom right,grass bottom right corner,grass in middle bottom right corner,shrub or picture bottom right corner,shrub or picture in middle bottom right corner,shrub:picture,a2
1293,,fabric,,bag,538389fcffd5268914000557,7807_5.jpg,,bag inbetween the two people,,,,B,7805_3.jpg,False,7807,5,top left,guy on top left,guy in white wall on left,dude or bus on top left,dude or bus in white wall on left,dude:bus,a2
